14.160.0.0/11, VN, AS45899
27.64.0.0/12, VN, AS7552
113.160.0.0/11, VN, AS45899
171.224.0.0/11, VN, AS7552
1.52.0.0/14, VN, AS45899
118.68.0.0/14, VN, AS18403
104.16.0.0/12, US, AS13335
162.158.0.0/15, US, AS13335
172.64.0.0/13, US, AS13335
8.8.8.0/24, US, AS15169
8.8.4.0/24, US, AS15169
142.250.0.0/15, US, AS15169
133.0.0.0/10, JP, AS2516
153.120.0.0/13, JP, AS4713
163.43.0.0/16, JP, AS9370
116.12.0.0/14, SG, AS4657
103.28.248.0/22, SG, AS13335
194.158.64.0/19, AD, AS6752
5.36.0.0/15, AE, AS5384
103.11.0.0/22, AF, AS55330
204.14.32.0/20, AG, AS36040
199.167.168.0/22, AI, AS40263
79.106.0.0/16, AL, AS44034
37.26.160.0/19, AM, AS49800
102.68.0.0/17, AO, AS36907
204.120.204.0/24, AQ, AS3215
181.164.0.0/14, AR, AS7303
202.65.32.0/20, AS, AS24545
80.120.0.0/14, AT, AS8447
1.0.0.0/24, AU, AS13335
190.103.160.0/20, AW, AS27775
193.184.64.0/20, AX, AS16174
5.191.0.0/16, AZ, AS29049
77.77.0.0/16, BA, AS9146
190.107.0.0/19, BB, AS27758
103.100.0.0/22, BD, AS58682
81.240.0.0/13, BE, AS5432
102.164.128.0/17, BF, AS37530
84.238.0.0/15, BG, AS8866
89.148.0.0/16, BH, AS31452
197.221.128.0/17, BI, AS37172
102.164.0.0/17, BJ, AS37107
199.167.240.0/22, BL, AS36040
199.172.168.0/22, BM, AS11082
202.160.0.0/19, BN, AS10090
181.114.0.0/15, BO, AS27839
190.103.0.0/20, BQ, AS27775
177.0.0.0/11, BR, AS28573
206.48.0.0/17, BS, AS11427
119.2.96.0/20, BT, AS38361
204.120.205.0/24, BV, AS3215
102.134.0.0/16, BW, AS37248
37.212.0.0/14, BY, AS6697
190.197.0.0/18, BZ, AS27732
142.204.0.0/16, CA, AS852
203.24.100.0/24, CC, AS13335
102.68.128.0/17, CD, AS37096
102.134.128.0/17, CF, AS37512
102.68.192.0/18, CG, AS37096
194.209.0.0/16, CH, AS3303
102.134.64.0/18, CI, AS37512
202.65.48.0/20, CK, AS24545
181.42.0.0/15, CL, AS27651
102.134.192.0/18, CM, AS37512
202.96.0.0/18, CN, AS4134
181.128.0.0/14, CO, AS3816
181.194.0.0/15, CR, AS11830
152.206.0.0/15, CU, AS27725
102.134.96.0/19, CV, AS37512
190.103.128.0/19, CW, AS27775
203.24.101.0/24, CX, AS13335
81.21.32.0/19, CY, AS2856
89.102.0.0/15, CZ, AS5610
194.94.0.0/16, DE, AS680
197.243.0.0/16, DJ, AS30990
80.160.0.0/13, DK, AS3292
204.14.48.0/20, DM, AS36040
181.36.0.0/14, DO, AS28118
105.96.0.0/12, DZ, AS36947
181.112.0.0/14, EC, AS27908
80.235.0.0/16, EE, AS3249
156.192.0.0/12, EG, AS8452
105.100.0.0/16, EH, AS36947
